x o  xo x4
ooxxoxx  8
xx xoxo o7
x   o xox1
 xxoxx oo6
oo  x  xx2
xoxoo x x5
  xxooxox1
x o   oxx4
xx xoxo o2
xx xooox 2
oxx    xo4
x oxox ox1
 xo xox  8
xxoxoo x 6
  xoxxoxo0
xxo oo xx6
x x  x oo6
o  xoxxox1
xooxo  xx6
oo xoxxx 8
xoo x xxo5
x  xox o 1
 xx ooxxo0
 xxxxoo o7
o oxox xx6
xx xoxo o7
x ox xoxo4
oxxo x xo4
xx xox oo6
 xox  ox 4
  xx xoo 8
xx  oo  x3
ox  oxoxx3
x oxoo xx6
 xxxoxoo 8
x  xo o x2
 ooxxo xx0
oo xoxxx 2
oxxo xx o4
x o xox  8
oxxxo    8
oxx o oxx3
x o x x o5
xxoxo  ox6
oxxoxx  o6
oxxoo xx 8
x  xo ox 2
 oxoxxox 0
  ooxxoxx0
x oxoo xx6
ox xoxxo 8
 xo ox  x6
xo   xxo 4
 xoo xoxx0
x xoxxoo 8
o ox xoxx1
xx  oo x 3
oo  xxxox2
x x ooxox1
  xxoxxoo1
oxoxox x 6
xxo  ooxx4
 ooxx x  0
xo x xoox4
x x ooxox1
o xxox   8
xxox oox 8
oo oxxx x2
oxooxx  x6
 xoo xoxx0
   xoxox 2
 oox xxox4
x  o ox x4
x oxox ox1
xoxoo xx 5
 x xox  o0
x xoxx oo6
oxxxox o 8
o  xoxxox1
oox xxox 3
o o xxxxo1
 xxoo xxo0
oxx xxo o3
oxo ox xx6
x oxo  x 6
o  xoxoxx2
 x xxoxoo2
oo x  x x2
x  oo x x5
xo x xoox4
 oxox oxx0
    xoxxo2
xxox xo o4
   xoxx o0
  o ox xx6
xoxx  oox4
xxoo ox x4
 oo x x x0
xoxx  oox4
xx  o o x2
x oox xxo5
xoxxx o o7
x  o oxx 4
 x  xox o2
 ooxxo xx0
 xo oxxxo0
xxoxxo o 8
xoxx  oox4
o oxx xxo1
oxxoo xx 8
ox o xxxo4
xx  oooxx3
xxox o   8
x xxoxo o7
oo xx x  2
xxox oox 4
oxoxox x 6
oo xoxxx 2
xx oo oxx2
 oo xxxox0
 oxxoxx o7
xx oxox o2
oo  xxoxx2
ooxx  xox4
  xo  oxx0
 oo xxoxx0
x xoo oxx5
xx xoxo o7
xxo   x o5
 xxoxxo o0
o x xxoxo3
 x  xxoo 8
oxxx xo o7
x ooox xx6
xxox  oox4
xxo xoxo 8
  oxoxxox1
oxx    xo4
oxxxo xo 8
