  o    xx5
xx oox ox6
 o xx o x2
  x xx oo3
   xxox o1
 xx   o  5
x ox o  x6
x o  ox x1
 ox   x  5
x x o    3
o x xx  o1
 ox x  ox0
oxxoxx o 8
x   o xox5
oo   xx x4
oo  x x x7
ooxx ox x7
  x x   o7
oxo xox x3
 ox  xox 4
o  x x ox4
 x ox  ox5
ox xxo   6
 o  xo xx3
 xxox o  5
x oo xxox1
ox     x 3
xx o xxoo4
  oxo x x7
oxxxx o o5
x  x    o5
 o    xx 4
 xx xo  o7
oxxxo  ox6
o xxox   1
o xx xxoo1
xx     o 5
xo   xo x7
xooxo  xx5
 xx  o   3
    x  xo6
   xo xox5
ox  o  xx3
xo  x xo 3
  x   x o7
  ox x   1
o x xx o 1
 xxoxo   0
 xx xo  o0
x x oox  8
ox x xxoo2
 o xxooxx2
x o  xxo 1
   ox oxx1
x ox x o 8
 xo x    8
  x xo   0
xo x x  o4
 oxx  x o7
xoxox ox 5
ox xx xoo5
xo   x ox6
   xx oxo2
x x oxoxo3
 xoxoxxo 8
   x ox  7
  oxx xo 1
  o x oxx0
o   x x  3
o o  xxx 3
xx xo oxo5
 x x xo o2
xo oox xx6
xx  x o o5
xx  xo  o3
xxo  ooxx3
x ooxoxx 1
xx oox   7
 o    xx 5
    xx o 0
x  o  oxx2
oxox x xo6
oxxx  oxo5
oo oxxx x7
x  o  xox1
x x xo  o7
 xo    x 6
 x  x o  3
oxoxx xo 8
o oxx  x 8
 x  xxo o3
x    oxox2
xx    oxo4
xooxx ox 8
ooxxx  xo6
   o x  x0
oxx  oxox3
x  x x oo2
  xox  xo0
 x o oxx 8
    xooxx3
x xxo oxo5
  oox  xx5
x xox oxo5
x oxx o  1
 xox xxoo0
xo x o x 2
xx o o  x6
xxo  xoox3
 xx  oxo 4
 o    xx 2
ox     x 6
  x xxoo 0
oxxxoxo  7
x ooox xx1
 xooox xx0
xo oxxox 2
oxxx  oox4
x oxx o  5
    x o x5
 x o oxx 0
oxo xx ox6
x oxx o  8
 xxo     8
    x x o7
    x  xo0
oxx o xox3
 xx oxo  3
 x   xoxo3
xo ox x  7
oxoxo xx 5
x  o x ox1
xoxxxo  o7
x o  xo x7
xx x ooox4
oxox xx o7
 xoo  xx 4
 ooxoxxx 8
xo      x2
  x  ox  1
oxo  xxxo3
o   oxx x7
oo  x  xx3
x oxx   o6
o  oxx  x1
ox  xxo  8
xoxx oo x7
 xx xooox3
    x  ox6
x o oxx  7
xo ox xxo5
oo xxoxx 8
 o x xx o0
 xxx oxoo4
  xxooxxo1
xo    x  2
 x  xxo o0
 x x oxo 8
ox x   xo2
ox xx xoo2
ox  xx  o3
ox oxxxo 8
 xoxx xoo0
 xoxo xox5
 xo    x 5
ox x ooxx2
xox   o x3
xo o x  x7
 xxxo oox0
xx o xo  4
     x ox1
  xoxooxx1
xxox o ox4
o ooxxxx 8
x    ox  8
ooxo xxx 8
x xo oxox1
xox  oxxo4
 o  x   x3
  o   x x1
xo o xoxx2
xx ooxo x7
 xxo x o 6
x xo xxoo4
xxo    ox5
ox xooxx 2
o xx ox  1
  o xx xo6
 xx  xo o3
ox  xox  8
xo    xox3
ooxx xox 8
  xo  xox0
xxoo xox 8
xoo  xoxx3
 xoxoo xx0
 xxxoo xo6
 o    xx 3
xo  xx  o6
xooo x xx6
  o xox x0
   oxo xx2
xoo xxx o7
x o     x5
xo xxoox 2
x    o  x3
o x   xxo3
 o x  xox5
x  x x oo1
xxo   o x7
xo  xx  o7
 o xxoxxo0
oxo xxxo 8
ox  xx o 6
o    x  x3
xx o  xo 4
 xo o  xx0
o  x xox 1
xo  x xo 5
x o  x ox1
xx x  oo 5
 o xxoxox2
o xxooxx 1
   o  x x2
 o o x xx2
 o o xx x0
  ooxx  x1
o xoxx xo1
 o oxxxox0
ooxxo  xx6
xo  xxxoo2
o  o xx x1
x  xx oo 1
xo xo   x2
x     xo 4
x     o x3
xox  xo  7
oox x   x6
  oxx o x7
o  xo xx 2
xoo x x  7
   xo xox2
 xx  o   4
 xx  xoo 3
o  xo xx 1
xx o xoxo4
xox  oxxo3
o o xxxxo3
  x  ox  3
 oxooxxx 0
ox oxxx o2
 oxxxo xo0
 xxoxo ox6
xx o  ox 5
  xox  ox0
xo ooxx x2
   xo x  2
 x    ox 2
 xxo   ox5
 o   xoxx4
o x xx  o3
x x  o ox4
 o ox x x0
ooxx x xo6
x  o xo x1
x x   o  7
 oo xxxox3
 x x  xoo5
xox xxoo 3
xoxx o xo4
   x ox  2
xx ox   o6
o  xx    1
ooxx  x  5
o oxx  x 6
xo x x  o2
xoxx  oox5
o xx  x o1
 o xo x x5
  x   o x4
o   x  x 5
xoo xxox 8
ox  xxxoo3
  x  oxox1
   x xxoo0
 xx o  ox6
xx xoo ox2
xx o xoox4
   oxox x7
o x  xxo 1
 o   xoxx0
ox     x 2
 ooxxo xx6
oxxx  xoo5
ox ooxx x7
 xxo xo  4
  x xo xo0
ox  x xo 3
oxx    ox4
x  o ox x2
x o     x1
x  xo  xo5
xo  xxxoo3
 o oxxx  8
xxoo o xx6
  o    xx4
 xx  x oo3
x x ooxxo1
ox   ox x4
 xx o o x3
xo  xx o 2
xo    x  4
x xox  o 5
   oxxxo 8
oxxooxx  7
  x  ox  8
  o oxx x0
x xo  x o5
 ox xx  o0
x x   oox3
ox xoo xx2
 oxxo xxo5
   xxoox 0
o o  xx x4
xx o x  o6
ooxx ox x4
oo xxox x7
   ooxx x7
 o  xxo x2
oo xx xox5
 x  oo xx0
x    o  x1
x  oxoxxo1
   o  x x4
  oxoxxxo1
  x x oox0
xoxox    8
 xxxo oox5
 x  oxo x0
 x o  xxo2
 xx  oxo 3
xooo xx x4
oox xx xo3
xxoxx oo 5
xo o x  x2
  oxx x o0
o   x oxx5
o o x xx 5
o    x  x4
o x  xox 4
 ox  xx o0
 xo xx  o6
    xoxxo3
xoo xxxo 8
 xooxxx o0
 oxxoox x0
  xxxooxo0
 xo  x xo0
 xxx ooxo0
  ox xx o4
x ox   ox4
  o xx ox0
xo      x3
xo x  o x5
 oxo xx  0
o xxo oxx1
 xoox xox5
   ox  x 0
xx  o x o3
o xxoox x1
  x x  o 5
 ooxxox x7
xx  o  ox6
x o   x  8
o xxx oxo5
 xx o ox 3
oxoxo  xx5
xo o xoxx4
 xxo   xo6
 xxxooxo 8
xx x ooxo4
 xx  o ox6
oxx x   o3
x xoxo xo6
 xxxooo x7
xx  o x o2
 x  xoxo 3
   xxox o0
xx    o  5
 xoxoox x7
 x ooxxox0
   o xxox4
xo xx  o 5
ooxo xxx 4
x ox   xo4
    o xx 3
xo xxo   2
o xo  xx 8
xxo xxo o3
  x   x o1
xo    xxo4
 o     xx3
 x xoxoox0
o xx oxxo1
xxox    o7
x   xoxo 2
xx  o    3
xx x o o 8
 xx o    3
x x  oxo 1
o x  xox 1
x oo x  x1
x xo oxxo1
 x  xox o3
o xxoo xx1
ox ooxxx 2
o   x xox1
xo  x    2
 o oxxxxo0
x o xxxoo1
xx o xoox2
   o  x x0
xx x ooox2
xoxxoo x 8
 xx    o 3
 o  x x  3
 xx o ox 5
 x  xox o7
 o  xx   7
 xxxooox 8
x xx   oo4
ox  o x x5
   xoxx o7
     xo x0
x o xx o 3
oo  xx  x6
oxo    xx5
x x o    8
xo  oxoxx3
x xoox   7
 ox  x   7
x xoxoox 1
 ox xx  o6
 xxo   xo0
 xx   xoo5
  x xxo o0
xo    xxo2
 ox  x   6
 xooxxo x7
  oox xx 0
o  xo xx 5
oxx xo ox3
oox   x x4
x xxo oox5
  ox  x  1
xoxxxo o 8
 xxo  o x7
x x  o   3
xxooxox  7
oxxx ox o7
 xoxoox x0
 ox   x  8
  oo xxx 0
xx    o  4
x xx ooox1
 o  x xox2
xx  oxoxo3
xooo xx x7
xoxoox x 6
 ox x  ox6
 xx o    8
xoxo  x  8
 xxox   o5
o  xx xo 8 this is advanced loss
ox xx xoo5
xx oo   x7
 xxxxoo o0
xo o x x 6 this is advanced loss
xo o xoxx2
oox   xx 5
 ox xo  x0
o   x xxo5
x  x   o 4
x xxoo ox6
x   xox o7
 xxo     6
xox xoox 3
o x x    3
xo      x7
ox x xoox4
 xxoxo ox0
o    x  x7
x   x o  7
  xxxooox1
  ox x ox1
oxoxx    7
    oxoxx0
xx     o 3
 xx  oo x7
  xox o x7
  x x oox3
ooxx  xxo5
x ox ooxx1
x xo     7
x o     x7
o  oxxx  7
 xx o  xo3
xxo oox x7
x o xxoxo3
  x oo xx1
xo      x6
xx  o    6
 xx  o ox3 this is advanced loss
 xxoxo ox0
x xo  ox 8
x x oxo  3
oo xx x  7
 oxx oxox0
x oxox xo1
 xxo  o x4
x  x o   1
xooxx  xo6
 x oxxoox2
x x    o 5
 x x  oox4 this is advanced loss
 xxxo oox0
   oxxx o1
oxo ox xx3
xx   o ox3
x xo xo  8
 xo x o x0
 o    x x5
xo oxxxo 2
 ox o x x0
x oox x  1
  x xo   1
ox oxox x7
 xxxo o  7
o xxx  o 6
 ox x    3
oox  xx  7
oox x  x 3
 x x oo x7 this is advanced loss
xx x ooox4
xo oxoxx 8
x o xxo  7
ox x xoox2
 xxxxo oo0
oo  x xx 3
x  o    x6
  xxoxo  0
    xo x 2
x  oxox  8
  o   xx 3
ox  xxxoo2
xx  xoo  7
  oxxooxx0
ox ooxx x2
oo x xoxx4
o x  x   7
 x   o x 0
oxox ox x4
xx o x o 4
oxxxxoo  8
   o x  x6
 x o xox 8
   xoo xx1
 x  oxo x3
 o xoxxxo2
xx  xoo  2
  o oxx x1
o  oxxxox1
 xx     o4
 o xo xx 5
oox   x x5
   x oxxo4
 oox xxxo4
   ox oxx2
x ox o  x7
  o xxxo 0
xx o   ox6 this is advanced loss
xx o xoox4
xo ooxxx 2
x  ox  xo2
    ox  x0
o xo xx  1
x xooxx o7
xoxo oxx 8
oxxxo o x7
xx     o 8
  oxx ox 0
  xo xxo 0
 ox o x x3
xo x xoxo2
  ox x   8
x xoo   x6
xo   xxo 8
o x xx o 6
xxoxxo o 6
 x  xo ox2
x xx ooox4
x xo o  x7
x  x o ox1
o xoxo xx1
x o xxoxo1
xo  x ox 5
  xox  ox1
  o xx ox1
ox o xxxo2
  o x  x 3
   xx   o2
 oxx xxoo0
xo oxxxo 8
o  xx xo 2
 xoo   xx5
 x oxx  o0
  ox xx o1
o  xx    6
o   x  x 2
oox   x x3
 xoo  x x4
  oxxoxox1
ox x xo  7
o      xx1
   ox   x7
 x xo xo 8
 x x  xoo4
x x    o 3
x  ooxoxx1
o xxx o  8
xx ox xoo5
 oo x x x7
  oxxooxx1
 xx   oxo3
 x oxox  8
  o xx ox3
 ox  x   4
xoxoxx o 6
o   x x  5
x x  oo x3
oox x  x 5
   oxox x1
    x  xo2
xo      x5
  oxxox  7
x x   oox5
 xooxx   8
  xoxxo  1
    o x x0
xx      o3
 x ox x o7
  o xxox 1
x xo     4
oxoxx    5
x  x   o 2
 ox xooxx3
 o xoxoxx0
 ox   x  0
 xxo o  x7 this is advanced loss
 xxoxo ox0
xx    oox3 this is advanced loss
xx o xoox2
oxx  xxoo3
xx ooxxo 8
  xxxo o 0
xxoo xo x7
  x oo xx0
oxo xxx o7
xxooxx o 6
     x ox0
xox xo xo3
  ox x ox0
 xxxo xoo5
 o x  x  5
   x xoox1
 o  xx   0
xo    x  7
  ox xo x0
oxo xx   7
xx  x o o2
 oo xxoxx3
xx   o xo6
ox x x  o7
oxox xxo 8
 xx   xoo0
  oo xxx 4
x   oxo x7
 x o   x 2
oxx oxxo 3
xo xox xo2
 ox     x7
 o xx ox 2
oxxxxo  o7
ooxx o xx4
oxxxox o 6
 xox oxox4
oxox xo x7
o   xxxo 1
 x o  oxx5
ooxxox x 6
  oxx o x1
xooxx    8
ox oxox x2
 o  xxo x3
ox  x o x2
xxooxxo  8
x xo  o x4
xoxxo    8
  xoxo  x7
xoxo  xox5
 xoooxxx 0
x x  o ox3
oo x x  x7
  xo x   0
 xxo xxoo0
xx  xoxoo3
xoxo    x4
 xx oxoxo3
  x xo xo1
x xoxo xo1
   oxox x0 this is advanced loss
ox oxox x2
x ox     5
oxoxx    6
  xxx  oo5
 xxooxx o7
   o xoxx1 this is advanced loss
xo o xoxx2
xoxx o ox6
 xo x    3
 xxoxoo x7
 ox   xxo0
xx  xo o 6
x o   xox1
xx    o  3
   ox   x5
xoxoxx  o7
 xx  xoo 0
x     o x7
  xoox x 0
xxoxox o 8
 xxo xxoo4
xoo ox xx3
ox  xoxox3
xx ooxox 8
xo  xox  7
 xx   oox3
oxox xox 8
 x x oxo 2
xox   o x7
 x  x   o2
ox xx o  8
x o  ox x7
 xx     o7
 x  xxo o2
   xx o  8
xox ooxx 8
 xxo  o x5
 xo  oxx 4
xooxx ox 5
   ox  x 2
 ooxx oxx5
    o x x5
ox x   xo5
oxx  ox  3
xx o xo  7 this is advanced loss
xx o xoox2
  ooxxoxx1
xxo x  o 3
   xo xxo2
xo oxx   7 this is advanced loss
xo oxxxo 8
x  ox    6
x xoox   6
xxo   x o4
 o x xo x0
oox    xx3
 o x x ox6
xx xo   o6
o   xxxo 8
o   x  x 8
 x oxx  o6
 xxx ooxo4
x  oxx o 1 this is advanced loss
xo oxxxo 2
xoox   x 4
 ooxx   x5
  xox  ox5
 oxxoo xx0
xoo x  x 6 this is advanced loss
xooxx ox 8
 o x xo x7
xoxo xox 4
 x xo o x7 this is advanced loss
 xxxo oox0
oo   x xx3
xx  xo o 8
ox o xxox4
   xo xxo1
o xxx oxo1
xo xoo xx2
     o xx0
 xxoxo   6
x xxo   o7
  xx ox o0
   xx o  2
x oxoo xx1
 oo x  xx5
oxx ox   7
oox   x x7
    oxoxx1
ooxx xox 4
xooxx    6
 x ox    8
oxooxxx  8
x xoox xo6
x    oxxo4
o xx oxox1
  x   o x7
  xoxx  o0
   x  x o5
oxo xxx o3
 oxxx oox0
ox xxox o7
xxoo x ox6
xooxx    7
    x o x2
 xxxoo ox6
xo o  x x2
x      ox6
xxoox    8
  xxxo o 8
o x x    5
oxox x   6
oox x   x3
xoxox    7
xox x  o 6
xxo  xxoo4
 x  x o  5
 o  x   x6
 x xxoo  2
 xx   xoo3
   oxxx o0
xo  x    6
o   oxx x3
oxox x ox6
x o xox  1
    xx  o0
   o x  x1
 xo xo  x6
xoo xx xo6
 oxxo oxx0
o  xx x o1
 xxoxx oo0
oxxoxx  o7
 xox xxoo4
x xo ooxx1
 xxo xo  7
 xx  oxo 0
 x    ox 3
xx oxoxo 2
xx x  oo 4
   oxoxx 2
xxoo ox x7
o  x x   7
o x   x  8
 o    xx 0
x    xxoo1
x  oxox  2
  x    ox1
xo  xox  8
o x  ox x3
xoxxo    5
 x  x oox5
x xo xo  7
   xxoo x2 this is advanced loss
 xx  oxo 8
 x xoox  7
 o  oxx x3
  ox x   6
xx x o o 6 this is advanced loss
xx x ooox2
    xxoox0
xoo   xx 5
oo oxxxx 8
o xo xx  4
 ox     x4
x  xx  oo2
  xx ox o1
 x o o xx6
   o  xx 1
x x  oox 8
  xoxxo  7
ooxx  xox5
oox xx xo6
xox o xxo5
 o o x xx4
x xxooox 8
   xxoo x7
 xoxoxx o7
x oo   xx5
x oxxoox 1
xx  xo  o6
xo x     2
xxo  oxox3
  x   o x3
  xoxo x 0
oxx  oxxo3
x o o xx 5
xxo   x o7
 x oxoxox2
x   x o  1
 xx    o 6
  ox  xox1
xx   oxo 4
xx  ox o 3
x oxx  o 6
 xx    o 4
xoxxo  xo5
o x xo  x7
 oxx ox  4
 x  xo   2
o  ox xx 1
xx xooox 8
 xoxo x  7
  x xo xo6
x  x   o 1
  xx xoo 4
xo o xxox2
  o    xx3
 oxox oxx5
xoox xo x7
x  x    o2
 xxo     7
xx   oo x7 this is advanced loss
xx x ooox4
   oox xx1
o xx   ox6
oxo xx   8
xo    x  5
x x o  ox6
oxxxxo o 8
x  x o   4
xoox xox 8
  xox  ox6
x ox o  x4
 ooxx x  8
x ooxxxo 1
  xoxo  x1
xxooxxo  7
xo  xxoxo2
  xx  xoo5
x  oo  xx1
 xxoox xo6
x  xxoo  7
x o xxo  8 this is advanced loss
x o xxoxo1
o xx  x o5
